"","speaker_role","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"971","Mother","or",55,"question",62,15578,0.00397997175503916,3.97997175503916
"972","Mother","or",56,"declarative",50,32754,0.00152653111070404,1.52653111070404
"973","Mother","or",56,"other",6,1926,0.00311526479750779,3.11526479750779
"974","Mother","or",56,"question",67,16964,0.00394954020278236,3.94954020278236
"975","Mother","or",57,"declarative",299,170250,0.00175624082232012,1.75624082232012
"976","Mother","or",57,"imperative",2,4826,0.000414421881475342,0.414421881475342
"977","Mother","or",57,"other",46,12780,0.00359937402190923,3.59937402190923
"978","Mother","or",57,"question",293,67993,0.0043092671304399,4.3092671304399
"979","Mother","or",58,"declarative",46,32774,0.00140355159577714,1.40355159577714
"980","Mother","or",58,"other",11,1971,0.00558092338914257,5.58092338914257
"981","Mother","or",58,"question",63,14986,0.00420392366208461,4.20392366208461
"982","Mother","or",59,"declarative",66,41951,0.00157326404614908,1.57326404614908
"983","Mother","or",59,"other",6,2139,0.00280504908835905,2.80504908835905
"984","Mother","or",59,"question",59,17451,0.00338089507764598,3.38089507764598
"985","Mother","or",60,"declarative",19,15610,0.00121716848174247,1.21716848174247
"986","Mother","or",60,"question",15,7443,0.00201531640467553,2.01531640467553
"987","Mother","or",61,"declarative",7,6839,0.00102354145342886,1.02354145342886
"988","Mother","or",61,"imperative",2,417,0.00479616306954436,4.79616306954436
"989","Mother","or",61,"other",2,352,0.00568181818181818,5.68181818181818
"990","Mother","or",61,"question",8,2994,0.00267201068804275,2.67201068804275
"991","Mother","or",62,"declarative",11,8952,0.00122877569258266,1.22877569258266
"992","Mother","or",62,"other",4,539,0.00742115027829314,7.42115027829314
"993","Mother","or",62,"question",11,3970,0.00277078085642317,2.77078085642317
"994","Mother","or",63,"declarative",8,8304,0.000963391136801541,0.963391136801541
"995","Mother","or",63,"question",14,4595,0.00304678998911861,3.04678998911861
"996","Mother","or",64,"declarative",20,12224,0.00163612565445026,1.63612565445026
"997","Mother","or",64,"other",1,405,0.00246913580246914,2.46913580246914
"998","Mother","or",64,"question",5,4482,0.00111557340473003,1.11557340473003
"999","Mother","or",65,"declarative",20,8673,0.00230600714862216,2.30600714862216
"1000","Mother","or",65,"imperative",1,360,0.00277777777777778,2.77777777777778
"1001","Mother","or",65,"other",2,337,0.00593471810089021,5.93471810089021
"1002","Mother","or",65,"question",11,3764,0.00292242295430393,2.92242295430393
"1003","Mother","or",66,"declarative",29,14720,0.00197010869565217,1.97010869565217
"1004","Mother","or",66,"imperative",2,1114,0.00179533213644524,1.79533213644524
