"","speaker_role","word","target_child_age_years","speech_act","count"
"554","Father","and",2.46321013004791,"declarative",13
"555","Father","and",2.46321013004791,"imperative",1
"556","Father","and",2.46321013004791,"other",21
"557","Father","and",2.46321013004791,"question",2
"558","Father","and",2.46594798083504,"declarative",13
"559","Father","and",2.46594798083504,"other",2
"560","Father","and",2.46594798083504,"question",1
"561","Father","and",2.46868583162218,"declarative",34
"562","Father","and",2.46868583162218,"other",1
"563","Father","and",2.46868583162218,"question",4
"564","Father","and",2.47142368240931,"imperative",1
"565","Father","and",2.47416153319644,"declarative",6
"566","Father","and",2.47689938398357,"declarative",5
"567","Father","and",2.47689938398357,"imperative",2
"568","Father","and",2.47689938398357,"other",2
"569","Father","and",2.47689938398357,"question",1
"570","Father","and",2.4796372347707,"declarative",2
"571","Father","and",2.4878507871321,"declarative",7
"572","Father","and",2.4878507871321,"question",1
"573","Father","and",2.49058863791923,"declarative",6
"574","Father","and",2.49332648870637,"declarative",6
"575","Father","and",2.49332648870637,"question",1
"576","Father","and",2.4960643394935,"declarative",1
"577","Father","and",2.49880219028063,"declarative",12
"578","Father","and",2.49880219028063,"other",2
"579","Father","and",2.49880219028063,"question",9
"580","Father","and",2.5,"declarative",45
"581","Father","and",2.5,"imperative",2
"582","Father","and",2.5,"other",39
"583","Father","and",2.5,"question",26
"584","Father","and",2.50273785078713,"declarative",18
"585","Father","and",2.50273785078713,"other",1
"586","Father","and",2.50273785078713,"question",19
"587","Father","and",2.50547570157426,"question",2
"588","Father","and",2.5082135523614,"declarative",13
"589","Father","and",2.5082135523614,"other",2
"590","Father","and",2.5082135523614,"question",12
"591","Father","and",2.51095140314853,"declarative",9
"592","Father","and",2.51095140314853,"other",1
"593","Father","and",2.51095140314853,"question",14
"594","Father","and",2.51368925393566,"declarative",2
"595","Father","and",2.51368925393566,"question",2
"596","Father","and",2.51642710472279,"declarative",5
"597","Father","and",2.51642710472279,"question",2
"598","Father","and",2.51916495550992,"declarative",7
