"","speaker_role","word","target_child_age_years","count","total","rel_freq","ppt"
"5783","Target_Child","and",1.71047227926078,2,1677,0.00119260584376863,1.19260584376863
"5784","Target_Child","and",1.71594798083504,1,1491,0.000670690811535882,0.670690811535882
"5785","Target_Child","and",1.71868583162218,1,470,0.00212765957446809,2.12765957446809
"5786","Target_Child","and",1.72142368240931,11,1214,0.00906095551894563,9.06095551894563
"5787","Target_Child","and",1.72416153319644,6,2200,0.00272727272727273,2.72727272727273
"5788","Target_Child","and",1.72689938398357,66,3411,0.019349164467898,19.349164467898
"5789","Target_Child","and",1.73237508555784,1,335,0.00298507462686567,2.98507462686567
"5790","Target_Child","and",1.73511293634497,1,1588,0.000629722921914358,0.629722921914358
"5791","Target_Child","and",1.74058863791923,5,1277,0.00391542678151919,3.91542678151919
"5792","Target_Child","and",1.75,18,8228,0.00218765192027224,2.18765192027224
"5793","Target_Child","and",1.75273785078713,1,1219,0.000820344544708778,0.820344544708778
"5794","Target_Child","and",1.75547570157426,25,2741,0.00912075884713608,9.12075884713608
"5795","Target_Child","and",1.76095140314853,7,1561,0.00448430493273543,4.48430493273543
"5796","Target_Child","and",1.76368925393566,1,168,0.00595238095238095,5.95238095238095
"5797","Target_Child","and",1.76642710472279,1,272,0.00367647058823529,3.67647058823529
"5798","Target_Child","and",1.76916495550992,3,1056,0.00284090909090909,2.84090909090909
"5799","Target_Child","and",1.77190280629706,1,3139,0.000318572793883402,0.318572793883402
"5800","Target_Child","and",1.77737850787132,30,1380,0.0217391304347826,21.7391304347826
"5801","Target_Child","and",1.78011635865845,1,338,0.0029585798816568,2.9585798816568
"5802","Target_Child","and",1.78285420944559,10,1465,0.0068259385665529,6.8259385665529
"5803","Target_Child","and",1.78559206023272,53,2490,0.021285140562249,21.285140562249
"5804","Target_Child","and",1.79106776180698,1,1122,0.00089126559714795,0.89126559714795
"5805","Target_Child","and",1.80475701574264,8,1637,0.00488698839340257,4.88698839340257
"5806","Target_Child","and",1.80749486652977,20,2113,0.00946521533364884,9.46521533364884
"5807","Target_Child","and",1.81023271731691,22,3223,0.0068259385665529,6.8259385665529
"5808","Target_Child","and",1.81570841889117,39,704,0.0553977272727273,55.3977272727273
"5809","Target_Child","and",1.8184462696783,52,4785,0.0108672936259143,10.8672936259143
"5810","Target_Child","and",1.82118412046543,11,1233,0.0089213300892133,8.9213300892133
"5811","Target_Child","and",1.82392197125257,1,645,0.00155038759689922,1.55038759689922
"5812","Target_Child","and",1.8266598220397,53,2837,0.0186817060274938,18.6817060274938
"5813","Target_Child","and",1.83333333333333,27,6884,0.00392213829169088,3.92213829169088
"5814","Target_Child","and",1.84154688569473,1,324,0.00308641975308642,3.08641975308642
"5815","Target_Child","and",1.84702258726899,13,2299,0.00565463244889082,5.65463244889082
"5816","Target_Child","and",1.84976043805613,20,3024,0.00661375661375661,6.61375661375661
"5817","Target_Child","and",1.85249828884326,2,1435,0.00139372822299652,1.39372822299652
"5818","Target_Child","and",1.85523613963039,2,290,0.00689655172413793,6.89655172413793
"5819","Target_Child","and",1.85797399041752,48,1245,0.0385542168674699,38.5542168674699
"5820","Target_Child","and",1.86071184120465,1,824,0.00121359223300971,1.21359223300971
"5821","Target_Child","and",1.86344969199179,57,6880,0.00828488372093023,8.28488372093023
